TimeStamp,Scene,Event,Interaction
1720687902220,SampleScene,none,none,
1720687902234,SampleScene,none,none,
1720687902248,SampleScene,none,none,
1720687902261,SampleScene,none,none,
1720687902276,SampleScene,none,none,
1720687902289,SampleScene,none,none,
1720687902303,SampleScene,none,none,
1720687902317,SampleScene,none,none,
1720687902331,SampleScene,none,none,
1720687902346,SampleScene,none,none,
1720687902359,SampleScene,none,none,
1720687902372,SampleScene,none,none,
1720687902387,SampleScene,none,none,
1720687902401,SampleScene,none,none,
1720687902414,SampleScene,none,none,
1720687902428,SampleScene,none,none,
1720687902442,SampleScene,none,none,
1720687902456,SampleScene,none,none,
1720687902470,SampleScene,none,none,
1720687902484,SampleScene,none,none,
1720687902497,SampleScene,none,none,
1720687902512,SampleScene,none,none,
1720687902526,SampleScene,none,none,
1720687902539,SampleScene,none,none,
1720687902554,SampleScene,none,none,
1720687902568,SampleScene,none,none,
1720687902582,SampleScene,none,none,
1720687902596,SampleScene,none,none,
1720687902609,SampleScene,none,none,
1720687902624,SampleScene,none,none,
1720687902636,SampleScene,none,none,
1720687902650,SampleScene,none,none,
1720687902665,SampleScene,none,none,
1720687902678,SampleScene,none,none,
1720687902693,SampleScene,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1720687902707,SampleScene,none,none,
1720687902720,SampleScene,none,none,
1720687902735,SampleScene,none,none,
1720687902749,SampleScene,none,none,
1720687902762,SampleScene,none,none,
1720687902776,SampleScene,none,none,
1720687902790,SampleScene,none,none,
1720687902804,SampleScene,none,none,
1720687902818,SampleScene,none,none,
1720687902831,SampleScene,none,none,
1720687902846,SampleScene,none,none,
1720687902859,SampleScene,none,none,
1720687902873,SampleScene,none,none,
1720687902887,SampleScene,none,none,
1720687902901,SampleScene,none,none,
1720687902915,SampleScene,none,none,
1720687902929,SampleScene,none,none,
1720687902942,SampleScene,none,none,
1720687902956,SampleScene,none,none,
1720687902970,SampleScene,none,none,
1720687902984,SampleScene,none,none,
1720687902998,SampleScene,none,none,
1720687903013,SampleScene,none,none,
1720687903025,SampleScene,none,none,
1720687903040,SampleScene,none,none,
1720687903053,SampleScene,none,none,
1720687903067,SampleScene,none,none,
1720687903081,SampleScene,none,none,
1720687903095,SampleScene,none,none,
1720687903110,SampleScene,none,none,
1720687903122,SampleScene,none,none,
1720687903137,SampleScene,none,none,
1720687903151,SampleScene,none,none,
1720687903165,SampleScene,none,none,
1720687903179,SampleScene,none,none,
1720687903193,SampleScene,none,none,
1720687903207,SampleScene,none,none,
1720687903220,SampleScene,none,none,
1720687903234,SampleScene,none,none,
1720687903248,SampleScene,none,none,
1720687903262,SampleScene,none,none,
1720687903276,SampleScene,none,none,
1720687903290,SampleScene,none,none,
1720687903304,SampleScene,none,none,
1720687903318,SampleScene,none,none,
1720687903331,SampleScene,none,none,
1720687903346,SampleScene,none,none,
1720687903359,SampleScene,none,none,
1720687903374,SampleScene,none,none,
1720687903388,SampleScene,none,none,
1720687903401,SampleScene,none,none,
1720687903415,SampleScene,none,none,
1720687903429,SampleScene,none,none,
1720687903442,SampleScene,none,none,
1720687903457,SampleScene,none,none,
1720687903471,SampleScene,none,none,
1720687903485,SampleScene,none,none,
1720687903498,SampleScene,none,none,
1720687903512,SampleScene,none,none,
1720687903525,SampleScene,none,none,
1720687903540,SampleScene,none,none,
1720687903553,SampleScene,none,none,
1720687903568,SampleScene,none,none,
1720687903582,SampleScene,none,none,
1720687903596,SampleScene,none,none,
1720687903609,SampleScene,none,none,
1720687903624,SampleScene,none,none,
1720687903636,SampleScene,none,none,
1720687903651,SampleScene,none,none,
1720687903664,SampleScene,none,none,
1720687903679,SampleScene,none,none,
1720687903692,SampleScene,none,none,
1720687903707,SampleScene,none,none,
1720687903720,SampleScene,none,none,
1720687903735,SampleScene,none,none,
1720687903749,SampleScene,none,none,
1720687903763,SampleScene,none,none,
