TimeStamp,Event,Interaction
1712924056212,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056226,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056240,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056254,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056268,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056282,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056296,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056309,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056324,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056338,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056351,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056366,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056379,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056393,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056407,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056420,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056436,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056449,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056463,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056477,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056490,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056505,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056519,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056533,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056546,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056560,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056575,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056589,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056602,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056617,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056630,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056644,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056658,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056672,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056686,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056700,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056714,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056728,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056742,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056756,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056769,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924056784,none,none,
1712924056797,none,none,
1712924056811,none,none,
1712924056826,none,none,
1712924056839,none,none,
1712924056853,none,none,
