TimeStamp,Event,Interaction
1712846045098,EventSystem,none
1712846045112,EventSystem,none
1712846045125,EventSystem,none
1712846045139,EventSystem,none
1712846045153,EventSystem,none
1712846045168,EventSystem,none
1712846045186,EventSystem,none
1712846045198,EventSystem,none
1712846045209,EventSystem,none
1712846045223,EventSystem,none
1712846045237,EventSystem,none
1712846045250,EventSystem,none
1712846045264,EventSystem,none
1712846045280,EventSystem,none
1712846045297,EventSystem,none
1712846045306,EventSystem,none
1712846045320,EventSystem,none
1712846045335,EventSystem,none
1712846045349,EventSystem,none
1712846045365,EventSystem,none
1712846045376,EventSystem,none
1712846045390,EventSystem,none
1712846045409,EventSystem,none
1712846045418,EventSystem,none
1712846045433,EventSystem,none
1712846045446,EventSystem,none
1712846045459,EventSystem,none
1712846045474,EventSystem,none
1712846045487,EventSystem,none
1712846045501,EventSystem,none
1712846045519,EventSystem,none
1712846045529,EventSystem,none
1712846045543,EventSystem,none
1712846045557,EventSystem,none
1712846045571,EventSystem,none
1712846045586,EventSystem,none
1712846045599,EventSystem,none
1712846045615,EventSystem,none
1712846045630,EventSystem,none
1712846045639,EventSystem,none
1712846045655,EventSystem,none
1712846045671,EventSystem,none
1712846045682,EventSystem,none
1712846045695,EventSystem,none
1712846045710,EventSystem,none
1712846045725,EventSystem,none
1712846045741,EventSystem,none
1712846045752,EventSystem,none
1712846045766,EventSystem,none
1712846045779,EventSystem,none
1712846045794,EventSystem,none
1712846045807,EventSystem,none
1712846045825,EventSystem,none
1712846045840,EventSystem,none
1712846045849,EventSystem,none
1712846045863,EventSystem,none
1712846045878,EventSystem,none
1712846045891,EventSystem,none
1712846045905,EventSystem,none
1712846045919,EventSystem,none
1712846045933,EventSystem,none
1712846045950,EventSystem,none
1712846045961,EventSystem,none
1712846045978,EventSystem,none
1712846045989,EventSystem,none
1712846046003,EventSystem,none
1712846046017,EventSystem,none
1712846046030,EventSystem,none
1712846046045,EventSystem,none
1712846046063,EventSystem,none
1712846046073,EventSystem,none
1712846046086,EventSystem,none
1712846046100,EventSystem,none
1712846046114,EventSystem,none
1712846046130,EventSystem,none
1712846046142,EventSystem,none
1712846046157,EventSystem,none
1712846046173,EventSystem,none
1712846046183,EventSystem,none
1712846046198,EventSystem,none
1712846046212,EventSystem,none
1712846046225,EventSystem,none
1712846046239,EventSystem,none
1712846046253,EventSystem,none
1712846046268,EventSystem,none
1712846046284,EventSystem,none
1712846046295,EventSystem,none
1712846046309,EventSystem,none
1712846046323,EventSystem,none
1712846046337,EventSystem,none
1712846046351,EventSystem,none
1712846046365,EventSystem,none
1712846046380,EventSystem,none
1712846046396,EventSystem,none
1712846046406,EventSystem,none
1712846046420,EventSystem,none
1712846046437,EventSystem,none
1712846046448,EventSystem,none
1712846046462,EventSystem,none
1712846046475,EventSystem,none
1712846046490,EventSystem,none
1712846046507,EventSystem,none
1712846046517,EventSystem,none
1712846046532,EventSystem,none
1712846046544,EventSystem,none
1712846046559,EventSystem,none
1712846046573,EventSystem,none
1712846046591,EventSystem,none
1712846046605,EventSystem,none
1712846046615,EventSystem,none
1712846046629,EventSystem,none
1712846046643,EventSystem,none
1712846046657,EventSystem,none
1712846046671,EventSystem,none
1712846046685,EventSystem,none
1712846046699,EventSystem,none
1712846046718,EventSystem,none
1712846046726,EventSystem,none
1712846046744,EventSystem,none
1712846046754,EventSystem,none
1712846046769,EventSystem,none
1712846046782,EventSystem,none
1712846046796,EventSystem,none
1712846046810,EventSystem,none
1712846046827,EventSystem,none
1712846046837,EventSystem,none
1712846046851,EventSystem,none
1712846046866,EventSystem,none
1712846046879,EventSystem,none
1712846046897,EventSystem,none
1712846046907,EventSystem,none
1712846046921,EventSystem,none
1712846046939,EventSystem,none
1712846046949,EventSystem,none
1712846046963,EventSystem,none
1712846046976,EventSystem,none
1712846046991,EventSystem,none
1712846047006,EventSystem,none
1712846047019,EventSystem,none
1712846047033,EventSystem,none
1712846047051,EventSystem,none
1712846047060,EventSystem,none
1712846047074,EventSystem,none
1712846047088,EventSystem,none
1712846047102,EventSystem,none
1712846047116,EventSystem,none
1712846047130,EventSystem,none
1712846047145,EventSystem,none
1712846047161,EventSystem,none
1712846047171,EventSystem,none
1712846047190,EventSystem,none
1712846047202,EventSystem,none
1712846047214,EventSystem,none
1712846047228,EventSystem,none
1712846047242,EventSystem,none
1712846047256,EventSystem,none
1712846047274,EventSystem,none
1712846047284,EventSystem,none
1712846047298,EventSystem,none
1712846047312,EventSystem,none
1712846047325,EventSystem,none
1712846047339,EventSystem,none
1712846047353,EventSystem,none
1712846047370,EventSystem,none
1712846047386,EventSystem,none
1712846047394,EventSystem,none
1712846047409,EventSystem,none
1712846047423,EventSystem,none
1712846047437,EventSystem,none
1712846047451,EventSystem,none
1712846047465,EventSystem,none
1712846047479,EventSystem,none
1712846047497,EventSystem,none
1712846047507,EventSystem,none
1712846047524,EventSystem,none
1712846047534,EventSystem,none
1712846047549,EventSystem,none
1712846047563,EventSystem,none
1712846047575,EventSystem,none
1712846047591,EventSystem,none
1712846047609,EventSystem,none
1712846047619,EventSystem,none
1712846047632,EventSystem,none
1712846047646,EventSystem,none
1712846047660,EventSystem,none
1712846047676,EventSystem,none
1712846047688,EventSystem,none
1712846047702,EventSystem,none
1712846047719,EventSystem,none
1712846047729,EventSystem,none
1712846047746,EventSystem,none
1712846047759,EventSystem,none
1712846047774,EventSystem,none
1712846047785,EventSystem,none
1712846047799,EventSystem,none
1712846047814,EventSystem,none
1712846047831,EventSystem,none
1712846047841,EventSystem,none
1712846047856,EventSystem,none
1712846047869,EventSystem,none
1712846047883,EventSystem,none
1712846047897,EventSystem,none
1712846047911,EventSystem,none
1712846047925,EventSystem,none
1712846047943,EventSystem,none
1712846047952,EventSystem,none
1712846047967,EventSystem,none
1712846047982,EventSystem,none
1712846047993,EventSystem,none
1712846048007,EventSystem,none
1712846048021,EventSystem,none
1712846048036,EventSystem,none
1712846048053,EventSystem,none
1712846048062,EventSystem,none
1712846048077,EventSystem,none
1712846048091,EventSystem,none
1712846048105,EventSystem,none
1712846048119,EventSystem,none
1712846048137,EventSystem,none
1712846048151,EventSystem,none
1712846048161,EventSystem,none
1712846048175,EventSystem,none
1712846048189,EventSystem,none
1712846048203,EventSystem,none
1712846048217,EventSystem,none
1712846048230,EventSystem,none
1712846048245,EventSystem,none
1712846048263,EventSystem,none
1712846048271,EventSystem,none
1712846048289,EventSystem,none
1712846048300,EventSystem,none
1712846048313,EventSystem,none
1712846048328,EventSystem,none
1712846048341,EventSystem,none
1712846048356,EventSystem,none
1712846048374,EventSystem,none
1712846048382,EventSystem,none
1712846048397,EventSystem,none
1712846048411,EventSystem,none
1712846048434,EventSystem,none
1712846048457,EventSystem,none
1712846048471,EventSystem,none
1712846048482,EventSystem,none
1712846048496,EventSystem,none
1712846048538,EventSystem,none
